Rooms,Type,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,Regionname,Propertycount,Price
3.0,0,1,8,3040,3.0,1.0,2.0,605.0,6,9264.0,1290000.0
3.0,0,1,27,3196,3.0,2.0,2.0,612.0,4,2546.0,1000000.0
2.0,2,3,8.5,3044,3.0,1.0,2.0,512.0,2,7485.0,585000.0
3.0,0,1,17.9,3082,3.0,1.0,2.0,634.0,2,10529.0,705000.0
4.0,0,4,7.8,3124,3.0,2.0,2.0,600.0,5,8920.0,2600000.0
4.0,0,1,1.9,3003,4.0,1.0,0.0,440.0,2,2230.0,2100000.0
3.0,0,1,12.1,3083,3.0,1.0,1.0,612.0,2,10175.0,730000.0
4.0,0,1,11.2,3073,3.0,1.0,2.0,512.0,2,21650.0,750500.0
3.0,0,3,4.6,3142,3.0,1.0,1.0,266.0,5,7217.0,1300000.0
2.0,2,1,13.9,3108,3.0,1.0,2.0,512.0,0,9028.0,655000.0
3.0,0,1,13,3166,3.0,1.0,2.0,512.0,5,3145.0,880000.0
3.0,0,1,12.4,3060,3.0,1.0,2.0,604.0,2,5070.0,620000.0
4.0,0,1,3.8,3207,3.0,3.0,2.0,232.0,5,8648.0,2160000.0
4.0,1,1,10.3,3187,4.0,2.0,2.0,291.0,5,6938.0,1800000.0
3.0,0,1,13,3046,3.0,1.0,1.0,701.0,2,8870.0,575500.0
2.0,0,3,11.1,3025,3.0,1.0,2.0,512.0,6,5132.0,550000.0
3.0,0,1,9,3126,3.0,2.0,2.0,316.0,5,3265.0,1800000.0
3.0,0,1,13.5,3020,3.0,1.0,2.0,512.0,6,6763.0,605000.0
4.0,0,1,17.9,3082,4.0,2.0,1.0,531.0,2,10529.0,550000.0
2.0,2,1,11.2,3073,2.0,1.0,1.0,236.0,2,21650.0,433000.0
2.0,2,1,7.7,3124,3.0,1.0,2.0,512.0,5,8920.0,525000.0
2.0,2,1,4.3,3032,3.0,1.0,2.0,512.0,6,4918.0,460000.0
2.0,2,1,0,3000,3.0,1.0,2.0,512.0,2,17496.0,555000.0
3.0,0,0,6.7,3058,3.0,1.0,3.0,536.0,2,11204.0,1200000.0
3.0,0,1,17.9,3192,3.0,2.0,2.0,529.0,5,9758.0,860000.0
3.0,0,1,12.4,3107,3.0,2.0,2.0,779.0,0,5420.0,1245000.0
5.0,0,0,15.4,3131,5.0,3.0,4.0,512.0,0,4973.0,1700000.0
2.0,2,1,5.6,3101,3.0,1.0,2.0,512.0,5,10331.0,727500.0
1.0,2,0,8.4,3072,1.0,1.0,1.0,631.0,2,14577.0,250000.0
2.0,2,1,2.3,3051,2.0,2.0,1.0,0.0,2,6821.0,665500.0
3.0,2,1,3,3067,3.0,1.0,2.0,512.0,2,4019.0,940000.0
4.0,1,1,13.8,3165,3.0,1.0,2.0,512.0,5,10969.0,971000.0
3.0,0,1,5.9,3032,2.0,1.0,1.0,194.0,6,6567.0,970000.0
3.0,2,1,7.8,3079,3.0,1.0,2.0,512.0,0,5549.0,1220000.0
1.0,2,3,6.3,3143,1.0,1.0,1.0,0.0,5,4836.0,315000.0
3.0,2,1,13,3046,3.0,2.0,1.0,190.0,2,8870.0,460000.0
1.0,2,0,15.3,3074,3.0,1.0,2.0,512.0,2,7955.0,240000.0
2.0,0,1,2.4,3121,2.0,1.0,0.0,155.0,2,14949.0,1172000.0
3.0,0,1,18.4,3029,3.0,2.0,1.0,410.0,6,13830.0,428000.0
2.0,2,3,7,3013,2.0,2.0,2.0,0.0,6,6543.0,650000.0
3.0,0,1,7.4,3144,2.0,2.0,1.0,231.0,5,4675.0,2050000.0
2.0,0,1,1.8,3051,3.0,1.0,2.0,512.0,2,6821.0,1470000.0
4.0,0,1,9.9,3044,4.0,1.0,2.0,485.0,2,7485.0,723000.0
3.0,0,3,17.4,3048,3.0,1.0,2.0,596.0,2,1124.0,432000.0
3.0,0,1,7.8,3058,3.0,1.0,1.0,233.0,2,11204.0,1370000.0
2.0,0,4,6.4,3012,2.0,1.0,2.0,779.0,6,5058.0,1300000.0
3.0,0,1,14.3,3109,3.0,1.0,2.0,512.0,0,10999.0,1055000.0
2.0,2,1,5.5,3070,2.0,1.0,1.0,0.0,2,11364.0,692000.0
2.0,2,1,8.2,3012,2.0,1.0,1.0,117.0,6,5058.0,490000.0
2.0,2,1,3.4,3031,3.0,1.0,2.0,512.0,2,3593.0,425000.0
3.0,0,1,13.1,3060,3.0,1.0,4.0,584.0,2,5070.0,728000.0
2.0,0,1,13.6,3148,2.0,1.0,1.0,585.0,5,3582.0,1002000.0
3.0,0,1,8.8,3072,3.0,1.0,1.0,0.0,2,14577.0,815000.0
3.0,0,0,7.3,3102,3.0,2.0,3.0,512.0,5,2671.0,1960000.0
3.0,2,1,10.5,3186,3.0,1.0,2.0,512.0,5,10579.0,1715000.0
2.0,1,4,5.2,3055,3.0,1.0,2.0,512.0,2,7082.0,580000.0
2.0,2,1,6.2,3123,2.0,1.0,1.0,0.0,5,6482.0,595000.0
3.0,0,1,2.6,3121,2.0,2.0,1.0,203.0,2,14949.0,1850000.0
3.0,0,1,8.2,3041,3.0,2.0,2.0,264.0,6,3284.0,880000.0
5.0,0,3,7.4,3144,4.0,3.0,4.0,807.0,5,4675.0,3400000.0
2.0,2,1,9.2,3146,2.0,1.0,1.0,0.0,5,10412.0,390000.0
4.0,0,3,19.9,3134,4.0,2.0,2.0,710.0,0,3619.0,1100000.0
4.0,0,1,9.2,3104,4.0,3.0,2.0,1070.0,5,7809.0,2910000.0
3.0,0,3,3.4,3031,3.0,1.0,2.0,512.0,2,5263.0,1206000.0
2.0,2,0,9.2,3146,3.0,1.0,2.0,512.0,5,10412.0,520000.0
3.0,0,0,8.7,3162,3.0,3.0,4.0,959.0,5,5051.0,2000000.0
3.0,0,1,13.5,3042,3.0,2.0,2.0,305.0,6,3464.0,720000.0
1.0,2,1,3.4,3068,3.0,1.0,2.0,512.0,2,2954.0,538000.0
5.0,0,1,14.2,3149,5.0,5.0,2.0,729.0,0,13366.0,2248000.0
2.0,2,1,6.1,3182,2.0,1.0,1.0,683.0,5,13240.0,503500.0
3.0,0,1,11.2,3042,3.0,1.0,2.0,603.0,6,2291.0,840000.0
2.0,1,1,3.5,3207,2.0,2.0,2.0,512.0,5,8648.0,1190000.0
4.0,0,1,9.7,3103,4.0,2.0,1.0,685.0,5,5682.0,2410000.0
3.0,0,1,2.6,3121,3.0,1.0,1.0,167.0,2,14949.0,1165000.0
3.0,0,1,9.2,3104,3.0,1.0,2.0,512.0,5,7809.0,2160000.0
4.0,0,0,8.1,3161,4.0,1.0,1.0,443.0,5,6923.0,1300000.0
2.0,2,1,6.3,3143,3.0,1.0,1.0,0.0,5,4836.0,645000.0
3.0,0,1,24.8,3156,3.0,1.0,2.0,944.0,0,10788.0,760000.0
4.0,0,1,9.2,3058,4.0,1.0,2.0,590.0,2,3445.0,1009000.0
4.0,0,1,19.6,3076,4.0,2.0,2.0,512.0,2,10926.0,620000.0
4.0,0,3,7.3,3146,4.0,2.0,2.0,512.0,5,10412.0,1622500.0
3.0,0,0,7,3013,3.0,2.0,1.0,390.0,6,6543.0,750000.0
4.0,0,4,5.3,3070,4.0,2.0,1.0,344.0,2,11364.0,1550000.0
3.0,0,1,13,3046,3.0,1.0,2.0,512.0,2,8870.0,670000.0
2.0,1,0,5.2,3056,2.0,1.0,1.0,0.0,2,11918.0,605000.0
3.0,0,3,7.8,3058,3.0,2.0,1.0,417.0,2,11204.0,1064000.0
1.0,2,1,13.9,3165,1.0,1.0,1.0,105.0,5,10969.0,580000.0
2.0,2,1,4.4,3031,2.0,1.0,1.0,0.0,2,3593.0,420500.0
3.0,0,1,12.6,3020,3.0,1.0,1.0,462.0,6,3755.0,605000.0
3.0,0,4,2.4,3121,3.0,1.0,2.0,512.0,2,14949.0,1300000.0
2.0,2,3,2,3066,3.0,1.0,2.0,512.0,2,4553.0,888500.0
4.0,0,0,14,3047,4.0,3.0,2.0,1186.0,2,4294.0,850000.0
4.0,0,1,2.5,3067,4.0,3.0,1.0,0.0,2,4019.0,1542000.0
2.0,0,0,10.5,3186,2.0,1.0,2.0,298.0,5,10579.0,1350000.0
4.0,0,1,11.8,3105,3.0,1.0,2.0,512.0,0,4480.0,1600000.0
3.0,0,1,6.7,3058,3.0,1.0,2.0,512.0,2,3445.0,1001000.0
4.0,0,1,20.6,3064,4.0,2.0,2.0,512.0,2,5833.0,535000.0
3.0,0,4,5.8,3078,3.0,1.0,4.0,553.0,2,2970.0,1350000.0
3.0,0,1,11.2,3046,3.0,1.0,2.0,512.0,2,2606.0,788000.0
2.0,2,1,4.6,3122,2.0,2.0,1.0,0.0,5,11308.0,575000.0
2.0,0,1,11.2,3046,2.0,1.0,2.0,590.0,2,8870.0,725000.0
3.0,0,1,5.2,3056,3.0,1.0,0.0,331.0,2,11918.0,1222500.0
3.0,0,3,34.1,3805,3.0,2.0,2.0,731.0,4,9376.0,655000.0
3.0,0,1,35.5,3757,3.0,2.0,1.0,972.0,3,2170.0,601000.0
4.0,0,1,11.2,3046,4.0,2.0,2.0,512.0,2,2606.0,925000.0
2.0,0,1,1.6,3065,2.0,1.0,1.0,157.0,2,5825.0,1300000.0
2.0,2,4,8.5,3185,0.0,0.0,0.0,0.0,5,4898.0,410000.0
4.0,0,1,10.2,3127,4.0,3.0,2.0,1005.0,5,5457.0,2720000.0
2.0,0,4,5.2,3055,2.0,1.0,1.0,207.0,2,7082.0,835000.0
2.0,2,4,5.6,3101,2.0,1.0,1.0,0.0,5,10331.0,650000.0
